account	tran_date	tran_type	amount	interest
000001	2014-06-18/22:37:50	cash	5000	250.0
000001	2014-06-18/22:38:09	card	750	0
000002	2014-06-18/22:38:47	cash	-2000	0
000001	2014-06-18/23:05:29	card	5000	0
000001	2014-06-18/23:07:35	card	4000	0
000001	2014-06-18/23:08:59	card	5000	0
000001	2014-06-18/23:12:56	card	5000	0
000001	2014-06-18/23:14:20	card	5000	0
000001	2014-06-18/23:18:24	card	5000	0
000001	2014-06-18/23:24:07	card	5000	0
000001	2014-06-18/23:33:34	card	5000	0
000001	2014-06-18/23:46:09	card	5000	0
000001	2014-06-18/23:51:20	card	5000	0
000001	2014-06-18/23:52:42	card	5000	0
000001	2014-06-18/23:53:17	card	5000	0
000001	2014-06-18/23:57:15	card	5000	0
000001	2014-06-18/23:57:46	card	5000	0
000001	2014-06-18/23:58:40	card	5000	0
000001	2014-06-19/00:00:15	card	8000	0
000001	2014-06-19/00:01:23	card	7000	0
000001	2014-06-19/00:03:11	card	3000	0
000001	2014-06-19/00:03:19	cash	1000	50.0
000002	2014-06-19/00:04:07	cash	-2000	0
000002	2014-06-19/00:04:19	card	5000	0
000001	2014-06-19/00:11:23	card	950	0
000001	2014-06-19/00:13:06	card	200	0
000001	2014-06-19/00:14:51	card	300	0
000001	2014-06-19/00:15:44	card	7000	0
000001	2014-06-19/00:17:18	card	100	0
000001	2014-06-19/00:18:26	cash	500	25.0
000001	2014-06-19/00:18:38	card	16	0
000001	2014-06-19/00:33:20	card	59	0
000001	2014-06-19/00:35:01	card	400	0
000001	2014-06-19/00:36:43	card	1000	0
000001	2014-06-19/00:36:53	cash	500	25.0
000001	2014-06-19/00:40:12	card	400	0
000001	2014-06-19/00:40:22	cash	2000	100.0
000001	2014-06-19/00:41:08	cash	0	0.0
000002	2014-06-19/00:41:31	cash	500	25.0
000001	2014-06-19/00:42:54	card	77.7	0.0
000004	2014-06-19/00:43:55	card	10.89	0.0
000004	2014-06-19/00:44:21	cash	22.22	1.111
000005	2014-06-19/00:45:55	cash	88.88	4.444
000005	2014-06-19/00:46:15	card	200.0	0.0
